Timestamp_ET,Ticker,RSI,Price,SPY_RSI,MA_200
2026-09-03T15:28:25-04:00,TGT,26.55,163.81,51.16,120.39
2026-09-03T15:28:25-04:00,UNP,27.93,290.02,51.16,257.42
2026-09-03T15:28:25-04:00,VTRS,27.54,16.87,51.16,14.48
2026-09-03T15:28:25-04:00,WDC,24.01,436.43,51.16,371.17
2026-09-03T15:41:40-04:00,CVNA,29.75,73.01,54.46,72.98
2026-09-03T15:41:40-04:00,FTNT,28.98,155.61,54.46,109.68
2026-09-03T15:41:40-04:00,NSC,29.71,329.0,54.46,306.52
2026-09-03T15:41:40-04:00,OKE,27.68,95.97,54.46,83.15
2026-09-03T15:55:09-04:00,ARE,28.11,52.65,48.59,49.16
2026-09-03T15:55:09-04:00,CSCO,27.71,108.23,48.59,94.08
2026-09-03T15:55:09-04:00,EOG,29.1,146.47,48.59,127.08
2026-09-03T15:55:09-04:00,MRVL,20.94,206.91,48.59,151.0
2026-09-03T15:55:09-04:00,PM,20.81,186.51,48.59,172.41
2026-09-03T15:55:09-04:00,PG,27.94,146.99,48.59,145.82
2026-09-03T15:55:09-04:00,QCOM,26.71,168.39,48.59,166.99
2026-09-03T15:55:09-04:00,WRB,27.86,69.4,48.59,68.7
2026-09-04T12:19:16-04:00,APD,29.69,302.76,50.74,280.19
2026-09-04T12:19:16-04:00,ACGL,21.08,98.46,50.74,96.1
2026-09-04T12:19:16-04:00,BKR,25.86,62.97,50.74,58.14
2026-09-04T12:19:16-04:00,BF-B,28.49,27.13,50.74,26.75
2026-09-04T12:19:16-04:00,CF,25.96,134.76,50.74,107.2
2026-09-04T12:19:16-04:00,FANG,26.18,199.27,50.74,179.08
2026-09-04T12:19:16-04:00,FDX,28.46,322.83,50.74,290.4
2026-09-04T12:19:16-04:00,JBL,29.21,309.71,50.74,292.71
2026-09-04T12:19:16-04:00,LIN,26.81,480.64,50.74,477.3
2026-09-04T12:19:16-04:00,L,28.37,109.57,50.74,108.71
2026-09-04T12:19:16-04:00,NDSN,25.91,318.04,50.74,278.21
2026-09-04T12:19:16-04:00,NUE,22.32,259.65,50.74,205.31
2026-09-04T12:19:16-04:00,PH,26.8,967.22,50.74,932.61
2026-09-04T12:19:16-04:00,PYPL,29.07,54.78,50.74,50.85
2026-09-04T12:19:16-04:00,PNW,29.55,97.83,50.74,97.05
2026-09-04T12:19:16-04:00,STLD,24.51,241.23,50.74,209.65
2026-09-04T12:19:16-04:00,TRV,27.84,371.33,50.74,311.1
2026-09-04T12:19:16-04:00,VTR,29.59,91.39,50.74,84.51
2026-09-04T12:19:16-04:00,WST,22.38,341.41,50.74,293.41
2026-09-04T12:42:36-04:00,MO,28.97,69.06,51.51,65.14
2026-09-04T12:42:36-04:00,ED,25.67,107.82,51.51,105.7
2026-09-04T12:42:36-04:00,D,29.11,65.93,51.51,63.46
2026-09-04T12:42:36-04:00,ETR,27.68,107.65,51.51,104.46
2026-09-04T12:42:36-04:00,EVRG,28.98,81.76,51.51,79.37
2026-09-04T12:42:36-04:00,EXR,26.21,140.68,51.51,139.53
2026-09-04T12:42:36-04:00,FE,28.45,46.82,51.51,46.72
2026-09-04T12:42:36-04:00,DOC,25.75,20.76,51.51,18.2
2026-09-04T12:42:36-04:00,PSA,29.4,304.41,51.51,294.51
2026-09-04T12:42:36-04:00,SNA,27.69,382.5,51.51,372.06
2026-09-04T12:42:36-04:00,WMB,28.09,73.57,51.51,69.57
2026-09-04T12:54:58-04:00,COR,25.4,331.93,55.99,320.71
2026-09-04T12:54:58-04:00,CB,28.94,343.08,55.99,325.3
2026-09-04T12:54:58-04:00,VLTO,27.93,96.12,55.99,93.24
2026-09-04T12:54:58-04:00,WTW,24.09,335.15,55.99,298.82
2026-09-04T13:15:28-04:00,ARE,27.28,52.68,42.68,49.18
2026-09-04T13:15:28-04:00,O,29.98,61.53,42.68,60.55
2026-09-04T13:15:28-04:00,RSG,23.78,222.85,42.68,214.15
2026-09-04T14:19:28-04:00,ALL,28.96,260.16,44.8,219.74
2026-09-04T14:19:28-04:00,APA,28.92,43.27,44.8,33.23
2026-09-04T14:19:28-04:00,AJG,26.02,264.12,44.8,233.12
2026-09-04T14:19:28-04:00,CB,28.66,342.34,44.8,325.29
2026-09-04T14:19:28-04:00,ETR,29.03,107.14,44.8,104.46
2026-09-04T14:19:28-04:00,KMB,22.71,105.69,44.8,101.78
2026-09-04T14:19:28-04:00,LYB,21.49,64.08,44.8,59.25
2026-09-04T14:19:28-04:00,VTR,27.78,90.36,44.8,84.5
2026-09-04T14:43:34-04:00,APD,29.03,301.11,50.28,280.18
2026-09-04T14:57:13-04:00,T,27.57,25.83,55.41,24.7
2026-09-04T14:57:13-04:00,BG,28.27,118.71,55.41,112.93
2026-09-04T14:57:13-04:00,CDW,28.42,152.66,55.41,130.45
2026-09-04T14:57:13-04:00,EQIX,26.84,1038.29,55.41,952.67
2026-09-04T14:57:13-04:00,PSX,29.44,254.53,55.41,170.52
2026-09-04T14:57:13-04:00,SPG,27.36,210.48,55.41,199.39
2026-09-04T14:57:13-04:00,VRTX,27.42,546.7,55.41,466.15
2026-09-04T15:14:12-04:00,ADI,26.64,359.57,42.47,346.27
2026-09-04T15:14:12-04:00,ADM,27.02,84.23,42.47,71.28
2026-09-04T15:14:12-04:00,ADP,29.47,278.42,42.47,234.92
2026-09-04T15:14:12-04:00,CF,23.96,133.73,42.47,107.2
2026-09-04T15:14:12-04:00,CFG,27.4,70.71,42.47,63.31
2026-09-04T15:14:12-04:00,FCX,27.82,72.64,42.47,60.73
2026-09-04T15:14:12-04:00,ITW,27.46,269.61,42.47,264.72
2026-09-04T15:14:12-04:00,KVUE,21.19,18.75,42.47,17.6
2026-09-04T15:14:12-04:00,MET,23.9,97.93,42.47,81.04
2026-09-04T15:14:12-04:00,PRU,26.53,122.54,42.47,105.5
2026-09-04T15:14:12-04:00,QCOM,29.21,167.35,42.47,166.11
2026-09-04T15:14:12-04:00,REGN,28.44,829.2,42.47,730.4
2026-09-04T15:14:12-04:00,RF,26.92,30.43,42.47,27.91
2026-09-04T15:14:12-04:00,SWKS,26.36,73.24,42.47,63.3
2026-09-04T15:14:12-04:00,SMCI,19.87,39.28,42.47,31.37
2026-09-04T15:14:12-04:00,TXN,29.51,256.89,42.47,237.47
2026-09-04T15:14:12-04:00,UPS,26.33,102.26,42.47,101.91
2026-09-04T15:14:12-04:00,ZBRA,27.92,361.51,42.47,257.24
2026-09-04T15:27:53-04:00,AMP,28.06,560.32,48.81,484.9
2026-09-04T15:27:53-04:00,HBAN,29.45,17.03,48.81,16.79
2026-09-04T15:27:53-04:00,KEY,29.93,22.2,48.81,21.01
2026-09-04T15:27:53-04:00,MTD,25.22,1348.01,48.81,1319.48
2026-09-04T15:27:53-04:00,PFE,29.57,28.42,48.81,25.45
2026-09-04T15:27:53-04:00,RJF,29.71,178.21,48.81,159.57
2026-09-04T15:27:53-04:00,SYF,24.14,79.93,48.81,74.56
